,low_risk_avg,high_risk_avg,absolute_change
sensor_9,9058.613870769703,9087.274232258065,28.66036148836247
sensor_14,8139.175767017113,8159.22440967742,20.04864266030745
sensor_4,1404.4694467040135,1422.8119129032257,18.34246619921214
sensor_3,1587.8718571099687,1598.7154354838708,10.843578373902119
sensor_17,392.5173816284245,395.35806451612905,2.8406828877045314
sensor_7,553.7941623820121,552.0509967741935,1.7431656078185824
sensor_12,521.777248100683,520.2906677419355,1.4865803587474602
sensor_2,642.4572304504643,643.3722967741936,0.9150663237293202
sensor_11,47.4052229299363,47.96394838709677,0.5587254571604703
sensor_20,38.899713759496585,38.55841935483871,0.341294404657873
sensor_21,23.339906967999386,23.13358477419355,0.2063221938058355
sensor_13,2388.066921955337,2388.188490322581,0.1215683672439809
sensor_8,2388.067758422224,2388.1882967741935,0.12053835196957152
sensor_15,8.424365374875297,8.497328419354838,0.0729630444795415
sensor_6,21.609699946281943,21.61,0.00030005371805685854
sensor_5,14.62,14.62,0.0
sensor_1,518.67,518.67,0.0
sensor_10,1.3,1.3,0.0
sensor_16,0.03,0.03,0.0
sensor_19,100.0,100.0,0.0
sensor_18,2388.0,2388.0,0.0
